idea_id,run_index,project_id,block,input_tokens,output_tokens,latency_ms,retries
idea-003,0,e3056b91-7a97-43d3-ac11-5ac60337f4e8,pitch,8213,679,8988,0
idea-003,0,e3056b91-7a97-43d3-ac11-5ac60337f4e8,scenario,7864,469,7983,0
idea-003,0,e3056b91-7a97-43d3-ac11-5ac60337f4e8,hypotheses,7648,744,10803,0
idea-003,0,e3056b91-7a97-43d3-ac11-5ac60337f4e8,what_if,6034,1730,22224,1
idea-003,0,e3056b91-7a97-43d3-ac11-5ac60337f4e8,architecture,5835,379,6704,0
idea-003,0,e3056b91-7a97-43d3-ac11-5ac60337f4e8,canvas,2809,2023,20634,0
idea-003,0,e3056b91-7a97-43d3-ac11-5ac60337f4e8,models_options,2097,851,11476,0
idea-003,0,e3056b91-7a97-43d3-ac11-5ac60337f4e8,empathy_map,688,789,10911,0
idea-031,0,30c15161-5901-44b4-8f3a-37c47db96c96,pitch,8268,742,10205,0
idea-031,0,30c15161-5901-44b4-8f3a-37c47db96c96,scenario,7936,477,7247,0
idea-031,0,30c15161-5901-44b4-8f3a-37c47db96c96,hypotheses,7631,641,9664,0
idea-031,0,30c15161-5901-44b4-8f3a-37c47db96c96,what_if,5911,1746,21315,0
idea-031,0,30c15161-5901-44b4-8f3a-37c47db96c96,architecture,5686,233,4613,0
idea-031,0,30c15161-5901-44b4-8f3a-37c47db96c96,canvas,2666,2040,22506,0
idea-031,0,30c15161-5901-44b4-8f3a-37c47db96c96,models_options,1983,814,10977,0
idea-031,0,30c15161-5901-44b4-8f3a-37c47db96c96,empathy_map,557,798,10485,0
idea-001,0,40aa1f33-5a2c-4559-aa8b-889e546c8f7a,pitch,8082,688,8755,0
idea-001,0,40aa1f33-5a2c-4559-aa8b-889e546c8f7a,scenario,7757,625,10891,0
idea-001,0,40aa1f33-5a2c-4559-aa8b-889e546c8f7a,hypotheses,7532,689,9333,0
idea-001,0,40aa1f33-5a2c-4559-aa8b-889e546c8f7a,what_if,5997,1845,23424,0
idea-001,0,40aa1f33-5a2c-4559-aa8b-889e546c8f7a,architecture,5745,260,3930,0
idea-001,0,40aa1f33-5a2c-4559-aa8b-889e546c8f7a,canvas,2679,2062,21083,0
idea-001,0,40aa1f33-5a2c-4559-aa8b-889e546c8f7a,models_options,2000,880,12140,0
idea-001,0,40aa1f33-5a2c-4559-aa8b-889e546c8f7a,empathy_map,558,734,9270,0
idea-026,0,d8934222-f558-468f-85da-64fa174845bc,pitch,8165,732,9117,0
idea-026,0,d8934222-f558-468f-85da-64fa174845bc,scenario,7818,584,9274,0
idea-026,0,d8934222-f558-468f-85da-64fa174845bc,hypotheses,7590,618,9711,0
idea-026,0,d8934222-f558-468f-85da-64fa174845bc,what_if,5886,1886,23043,0
idea-026,0,d8934222-f558-468f-85da-64fa174845bc,architecture,5700,382,6126,0
idea-026,0,d8934222-f558-468f-85da-64fa174845bc,canvas,2644,2080,21780,0
idea-026,0,d8934222-f558-468f-85da-64fa174845bc,models_options,1955,827,10913,0
idea-026,0,d8934222-f558-468f-85da-64fa174845bc,empathy_map,588,788,11170,0
idea-046,0,36389c6c-f5ea-489c-add0-6fdd004daff0,pitch,8293,724,9174,0
idea-046,0,36389c6c-f5ea-489c-add0-6fdd004daff0,scenario,7912,524,8239,0
idea-046,0,36389c6c-f5ea-489c-add0-6fdd004daff0,hypotheses,7657,578,7401,0
idea-046,0,36389c6c-f5ea-489c-add0-6fdd004daff0,what_if,5985,1820,22450,0
idea-046,0,36389c6c-f5ea-489c-add0-6fdd004daff0,architecture,5758,235,4174,0
idea-046,0,36389c6c-f5ea-489c-add0-6fdd004daff0,canvas,2718,2052,22050,0
idea-046,0,36389c6c-f5ea-489c-add0-6fdd004daff0,models_options,2059,796,10975,0
idea-046,0,36389c6c-f5ea-489c-add0-6fdd004daff0,empathy_map,677,712,10134,0
idea-051,0,cf9aff24-b397-4353-95a3-12b4411e6f98,pitch,8103,717,8698,0
idea-051,0,cf9aff24-b397-4353-95a3-12b4411e6f98,scenario,7776,447,6821,0
idea-051,0,cf9aff24-b397-4353-95a3-12b4411e6f98,hypotheses,7657,500,7020,0
idea-051,0,cf9aff24-b397-4353-95a3-12b4411e6f98,what_if,5864,1956,23121,0
idea-051,0,cf9aff24-b397-4353-95a3-12b4411e6f98,architecture,5643,229,4038,0
idea-051,0,cf9aff24-b397-4353-95a3-12b4411e6f98,canvas,2641,1982,21218,0
idea-051,0,cf9aff24-b397-4353-95a3-12b4411e6f98,models_options,1968,815,11625,0
idea-051,0,cf9aff24-b397-4353-95a3-12b4411e6f98,empathy_map,578,711,10106,0
idea-063,0,d18c29d5-0ca9-4b2b-b74a-39f970ac1caa,pitch,8611,712,9645,0
idea-063,0,d18c29d5-0ca9-4b2b-b74a-39f970ac1caa,scenario,8261,329,5159,0
idea-063,0,d18c29d5-0ca9-4b2b-b74a-39f970ac1caa,hypotheses,7997,642,9265,0
idea-063,0,d18c29d5-0ca9-4b2b-b74a-39f970ac1caa,what_if,6136,2094,25708,0
idea-063,0,d18c29d5-0ca9-4b2b-b74a-39f970ac1caa,architecture,5900,243,3816,0
idea-063,0,d18c29d5-0ca9-4b2b-b74a-39f970ac1caa,canvas,2737,2131,22515,0
idea-063,0,d18c29d5-0ca9-4b2b-b74a-39f970ac1caa,models_options,2094,1002,13838,0
idea-063,0,d18c29d5-0ca9-4b2b-b74a-39f970ac1caa,empathy_map,669,796,10860,0
idea-070,0,8fa5f31a-619a-453d-affb-94f7760eda2c,pitch,8407,579,7768,0
idea-070,0,8fa5f31a-619a-453d-affb-94f7760eda2c,scenario,8046,340,5029,0
idea-070,0,8fa5f31a-619a-453d-affb-94f7760eda2c,hypotheses,7710,788,10025,0
idea-070,0,8fa5f31a-619a-453d-affb-94f7760eda2c,what_if,6012,1793,22734,0
idea-070,0,8fa5f31a-619a-453d-affb-94f7760eda2c,architecture,5788,231,4453,0
idea-070,0,8fa5f31a-619a-453d-affb-94f7760eda2c,canvas,2645,2131,20566,0
